NAME_1,County,NAME_2,d,p
Alabama,1001,Autauga,44,3
Alabama,1003,Baldwin,120,6
Alabama,1005,Barbour,13,2
Alabama,1009,Blount,27,2
Alabama,1013,Butler,12,2
Alabama,1015,Calhoun,246,3
Alabama,1017,Chambers,226,5
Alabama,1019,Cherokee,18,2
Alabama,1021,Chilton,4,1
Alabama,1023,Choctaw,14,2
Alabama,1027,Clay,139,3
Alabama,1029,Cleburne,226,1
Alabama,1031,Coffee,9,1
Alabama,1033,Colbert,18,2
Alabama,1035,Conecuh,4,1
Alabama,1037,Coosa,4,1
Alabama,1039,Covington,463,4
Alabama,1043,Cullman,2652,13
Alabama,1047,Dallas,175,9
Alabama,1049,De Kalb,518,4
Alabama,1051,Elmore,40,3
Alabama,1053,Escambia,40,5
Alabama,1055,Etowah,436,4
Alabama,1057,Fayette,1976,10
Alabama,1059,Franklin,265,5
Alabama,1061,Geneva,854,7
Alabama,1063,Greene,21,4
Alabama,1065,Hale,77,5
Alabama,1071,Jackson,498,4
Alabama,1075,Lamar,466,2
Alabama,1077,Lauderdale,66,9
Alabama,1079,Lawrence,175,15
Alabama,1081,Lee,7,1
Alabama,1083,Limestone,89,7
Alabama,1085,Lowndes,44,4
Alabama,1087,Macon,268,4
Alabama,1089,Madison,20,4
Alabama,1091,Marengo,1142,4
Alabama,1093,Marion,84,8
Alabama,1097,Mobile,505,4
Alabama,1099,Monroe,9,2
Alabama,1101,Montgomery,18,2
Alabama,1103,Morgan,2198,6
Alabama,1105,Perry,930,6
Alabama,1107,Pickens,286,5
Alabama,1109,Pike,509,2
Alabama,1111,Randolph,742,5
Alabama,1117,Shelby,26,6
Alabama,1123,Tallapoosa,5,1
Alabama,1125,Tuscaloosa,5,1
Alabama,1129,Washington,49,3
Alabama,1133,Winston,23,4
Arizona,4001,Apache,75,15
Arizona,4003,Cochise,4785,28
Arizona,4005,Coconino,35,9
Arizona,4007,Gila,4,2
Arizona,4009,Graham,4,1
Arizona,4011,Greenlee,5595,6
Arizona,4012,La Paz,4877,1
Arizona,4013,Maricopa,190064,65
Arizona,4015,Mohave,673,4
Arizona,4017,Navajo,55,14
Arizona,4019,Pima,9018,33
Arizona,4021,Pinal,129635,43
Arizona,4023,Santa Cruz,31,8
Arizona,4025,Yavapai,38,8
Arizona,4027,Yuma,7947,1
Arkansas,5007,Benton,3617,17
Arkansas,5009,Boone,189,3
Arkansas,5015,Carroll,675,6
Arkansas,5019,Clark,281,1
Arkansas,5025,Cleveland,26,2
Arkansas,5027,Columbia,126,1
Arkansas,5029,Conway,718,2
