NAME_1,d,p
Alabama,16805,219
Arizona,352836,238
Arkansas,16352,100
California,3308702,1930
Colorado,238352,514
Connecticut,32344,242
Delaware,8225,77
District of Columbia,0,0
Florida,224526,426
Georgia,144927,347
Idaho,1054705,934
Illinois,181302,1150
Indiana,317259,2401
Iowa,373466,1810
Kansas,240100,854
Kentucky,130818,1562
Louisiana,29187,120
Maine,58588,581
Maryland,93396,577
Massachusetts,22739,278
Michigan,685683,2407
Minnesota,843802,4743
Mississippi,26346,184
Missouri,169540,2445
Montana,25406,395
Nebraska,99512,557
Nevada,53685,54
New Hampshire,24629,253
New Jersey,13093,127
New Mexico,581075,404
New York,1112689,5424
North Carolina,83807,570
North Dakota,32562,241
Ohio,488119,4006
Oklahoma,83560,752
Oregon,229232,684
Pennsylvania,969585,7826
Rhode Island,2190,30
South Carolina,29191,192
South Dakota,167308,686
Tennessee,87860,977
Texas,792559,985
Utah,164817,470
Vermont,244288,1074
Virginia,171274,1166
Washington,486571,795
West Virginia,18339,434
Wisconsin,2313243,11535
Wyoming,11343,207
