State	dateOfEntry	TMRCA	dateOfEntry_day	TMRCA_day	State_full
TX	2024.047896	2024.047896	18	18	Texas
NM	2024.12605	2024.144866	47	54	New Mexico
KS	2024.149911	2024.16034	55	59	Kansas
ID	2024.173785	2024.20223	64	75	Idaho
NC	2024.18138	2024.216585	67	80	North Carolina
OH	2024.20004	2024.203125	74	75	Ohio
SD	2024.203652	2024.218452	75	80	South Dakota
MI	2024.205155	2024.207185	76	76	Michigan
OK	2024.212189	2024.215847	78	80	Oklahoma
MT	2024.236708	2024.256831	87	95	Montana
MN	2024.238525	2024.245658	88	90	Minnesota
CO	2024.253073	2024.268947	93	99	Colorado
WY	2024.268177	2024.294935	99	108	Wyoming
IA	2024.29323	2024.386995	108	142	Iowa
CA	2024.514015	2024.60479	189	222	California
UT	2024.62751	2024.810186	230	297	Utah
OR	2024.681527	2024.923497	250	338	Oregon
