State	dateOfEntry	TMRCA
TX	2024.047896	2024.047896
NM	2024.126050	2024.144866
KS	2024.149911	2024.160340
ID	2024.173785	2024.202230
NC	2024.181380	2024.216585
OH	2024.200040	2024.203125
SD	2024.203652	2024.218452
MI	2024.205155	2024.207185
OK	2024.212189	2024.215847
MT	2024.236708	2024.256831
MN	2024.238525	2024.245658
CO	2024.253073	2024.268947
WY	2024.268177	2024.294935
IA	2024.293230	2024.386995
CA	2024.514015	2024.604790
UT	2024.627510	2024.810186
OR	2024.681527	2024.923497
