alpha,beta,gamma,state,mean_first_intro_day,earliest_first_intro_day,latest_first_intro_day,median_first_intro_day,mean_intro_count,median_intro_count,max_intro_count,mean_cumu_before_second_intro,max_cumu_before_second_intro,mean_intro_day_2,median_intro_day_2,mean_intro_day_3,median_intro_day_3,mean_first_export_day,median_first_export_day,mean_export_count,median_export_count,max_export_count,mean_total_cumu_cases,max_total_cumu_cases
0.5,0.01,0.5,Texas,28.0,28,28,28.0,21.3,21.0,26,0.0,0.0,28.0,28.0,28.0,28.0,39.9,40.0,47.2,48.0,57,21.9,28
0.5,0.01,1.0,Texas,28.0,28,28,28.0,29.0,29.0,35,0.0,0.0,28.0,28.0,28.0,28.0,35.2,32.0,59.4,57.0,68,25.9,35
0.5,0.05,0.5,Texas,28.0,28,28,28.0,36.5,37.5,39,0.0,0.0,28.0,28.0,28.0,28.0,31.8,31.0,57.4,57.0,61,26.8,31
0.5,0.1,0.5,Texas,28.0,28,28,28.0,40.0,39.5,43,0.0,0.0,28.0,28.0,28.0,28.0,31.4,31.0,58.0,60.0,64,29.0,32
0.5,0.25,0.5,Texas,28.0,28,28,28.0,42.3,42.5,45,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,54.5,53.5,61,30.7,33
0.5,0.1,1.0,Texas,28.0,28,28,28.0,46.5,46.5,50,0.0,0.0,28.0,28.0,28.0,28.0,31.2,31.0,68.9,69.0,73,31.2,35
0.5,0.05,1.0,Texas,28.0,28,28,28.0,42.4,41.5,48,0.0,0.0,28.0,28.0,28.0,28.0,31.9,32.0,70.7,69.0,87,31.4,35
1.0,0.01,0.5,Texas,28.0,28,28,28.0,30.8,30.0,40,0.0,0.0,28.0,28.0,28.0,28.0,36.5,33.5,70.6,71.5,78,32.1,40
0.5,0.25,1.0,Texas,28.0,28,28,28.0,49.8,50.0,52,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,65.1,65.0,70,33.1,37
1.0,0.05,0.5,Texas,28.0,28,28,28.0,44.2,44.5,49,0.0,0.0,28.0,28.0,28.0,28.0,31.2,31.0,83.7,84.0,98,33.5,38
1.0,0.1,0.5,Texas,28.0,28,28,28.0,46.6,46.0,51,0.0,0.0,28.0,28.0,28.0,28.0,31.1,31.0,74.5,74.0,85,34.2,36
0.5,0.01,2.0,Texas,28.0,28,28,28.0,36.4,36.5,40,0.0,0.0,28.0,28.0,28.0,28.0,40.2,38.0,78.4,77.5,88,35.7,41
1.0,0.25,0.5,Texas,28.0,28,28,28.0,48.7,49.0,53,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,70.8,70.5,77,36.2,38
0.5,0.25,2.0,Texas,28.0,28,28,28.0,54.4,54.0,61,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,72.7,73.0,80,37.7,41
0.5,0.1,2.0,Texas,28.0,28,28,28.0,52.1,51.0,58,0.0,0.0,28.0,28.0,28.0,28.0,31.1,31.0,80.1,77.5,99,37.8,41
0.5,0.05,2.0,Texas,28.0,28,28,28.0,48.8,48.0,54,0.0,0.0,28.0,28.0,28.0,28.0,31.7,32.0,82.8,82.0,93,38.3,42
ALL,ALL,ALL,Texas,28.0,28,28,28.0,44.90833333333333,47.0,61,0.0,0.0,28.0,28.0,28.0,28.0,33.044444444444444,31.0,81.78055555555555,84.0,119,38.43611111111111,53
1.0,0.1,2.0,Texas,28.0,28,28,28.0,55.7,56.0,60,0.0,0.0,28.0,28.0,28.0,28.0,31.3,31.0,91.9,93.0,100,38.6,44
1.0,0.01,1.0,Texas,28.0,28,28,28.0,35.6,35.0,42,0.0,0.0,28.0,28.0,28.0,28.0,35.5,32.0,85.5,84.0,93,39.6,44
1.0,0.05,1.0,Texas,28.0,28,28,28.0,49.2,49.0,53,0.0,0.0,28.0,28.0,28.0,28.0,31.2,31.0,90.6,91.5,101,39.8,45
1.0,0.25,1.0,Texas,28.0,28,28,28.0,53.4,53.5,55,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,80.9,81.5,84,40.5,44
1.0,0.25,2.0,Texas,28.0,28,28,28.0,54.5,54.0,58,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,86.8,86.0,92,41.2,47
1.0,0.1,1.0,Texas,28.0,28,28,28.0,50.4,50.0,55,0.0,0.0,28.0,28.0,28.0,28.0,31.1,31.0,85.9,85.0,100,41.4,47
1.0,0.05,2.0,Texas,28.0,28,28,28.0,50.0,49.0,59,0.0,0.0,28.0,28.0,28.0,28.0,31.1,31.0,102.1,102.5,109,41.8,45
1.0,0.01,2.0,Texas,28.0,28,28,28.0,36.7,36.5,44,0.0,0.0,28.0,28.0,28.0,28.0,35.7,36.0,91.2,91.0,97,42.7,50
2.0,0.25,0.5,Texas,28.0,28,28,28.0,53.0,53.0,56,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,84.5,84.0,90,43.4,47
2.0,0.01,1.0,Texas,28.0,28,28,28.0,37.2,37.0,42,0.0,0.0,28.0,28.0,28.0,28.0,41.1,40.0,96.9,98.0,105,43.4,47
2.0,0.1,0.5,Texas,28.0,28,28,28.0,50.4,50.0,53,0.0,0.0,28.0,28.0,28.0,28.0,31.2,31.0,87.0,86.0,100,43.6,46
2.0,0.05,1.0,Texas,28.0,28,28,28.0,49.5,49.0,55,0.0,0.0,28.0,28.0,28.0,28.0,31.6,32.0,98.7,97.5,115,44.0,46
2.0,0.1,1.0,Texas,28.0,28,28,28.0,51.4,50.5,57,0.0,0.0,28.0,28.0,28.0,28.0,31.2,31.0,94.9,93.5,107,44.9,51
2.0,0.01,0.5,Texas,28.0,28,28,28.0,33.8,33.5,42,0.0,0.0,28.0,28.0,28.0,28.0,37.2,40.0,92.2,92.0,100,44.9,53
2.0,0.05,0.5,Texas,28.0,28,28,28.0,46.0,45.5,51,0.0,0.0,28.0,28.0,28.0,28.0,31.5,31.5,96.2,93.5,119,45.3,50
2.0,0.25,1.0,Texas,28.0,28,28,28.0,53.1,53.0,58,0.0,0.0,28.0,28.0,28.0,28.0,31.0,31.0,90.4,91.0,97,45.5,52
2.0,0.1,2.0,Texas,28.0,28,28,28.0,51.0,51.0,56,0.0,0.0,28.0,28.0,28.0,28.0,31.1,31.0,100.2,100.5,109,45.7,51
2.0,0.25,2.0,Texas,28.0,28,28,28.0,52.2,52.0,54,0.0,0.0,28.0,28.0,28.0,28.0,31.1,31.0,92.0,92.0,96,47.0,49
2.0,0.01,2.0,Texas,28.0,28,28,28.0,37.2,36.5,44,0.0,0.0,28.0,28.0,28.0,28.0,45.2,49.5,100.7,102.0,116,47.1,53
2.0,0.05,2.0,Texas,28.0,28,28,28.0,46.6,47.0,50,0.0,0.0,28.0,28.0,28.0,28.0,31.3,31.0,100.7,99.5,112,47.8,51
0.5,0.25,0.5,Colorado,31.0,31,31,31.0,17.2,17.0,18,0.0,0.0,37.0,37.0,45.8,46.0,28.0,28.0,28.0,27.5,32,9.3,11
0.5,0.25,1.0,Colorado,31.0,31,31,31.0,18.6,18.5,20,0.0,0.0,38.5,37.0,45.4,46.0,28.0,28.0,30.3,30.5,38,12.3,14
1.0,0.25,2.0,Colorado,31.0,31,31,31.0,19.9,20.0,21,0.0,0.0,37.0,37.0,45.8,46.0,28.0,28.0,40.1,38.5,47,12.4,14
2.0,0.25,1.0,Colorado,31.0,31,31,31.0,20.0,20.0,21,0.0,0.0,37.9,37.0,46.0,46.0,28.0,28.0,41.6,41.5,48,12.5,14
1.0,0.25,0.5,Colorado,31.0,31,31,31.0,19.7,20.0,22,0.0,0.0,37.9,37.0,46.5,46.0,28.0,28.0,33.8,33.5,40,12.8,16
0.5,0.25,2.0,Colorado,31.0,31,31,31.0,19.9,20.0,20,0.0,0.0,37.0,37.0,45.8,46.0,28.0,28.0,39.4,38.0,43,12.8,14
1.0,0.25,1.0,Colorado,31.0,31,31,31.0,19.5,19.5,21,0.0,0.0,37.0,37.0,45.6,46.0,28.0,28.0,37.6,37.5,40,13.1,15
